MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,PricePerSqFt,PropertyAge,BasementBathrooms,BathroomAbvGr,OverallCondition,OverallExterior,TotalBsmtSqFt,TotalGrLivAreaSF,GarageQual+Cond
SC20,RL,70.0,11200.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5.0,5.0,1965.0,1965.0,Hip,CompShg,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,TA,5.0,Typ,0.0,No,Detchd,1980.0,Unf,1.0,384.0,Y,0.0,0.0,No,Feb,2008.0,WD,Normal,129500.0,124.51923076923077,60.0,1.0,1.0,NormNorm,HdBoardHdBoard,1040.0,1040.0,TATA
SC60,RL,85.0,11924.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,2Story,9.0,5.0,2005.0,2006.0,Hip,CompShg,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,4.0,1.0,Ex,6.0,Typ,2.0,Gd,BuiltIn,1980.0,Fin,3.0,736.0,Y,147.0,21.0,No,Jul,2006.0,New,Partial,163000.0,70.13769363166953,20.0,1.0,3.0,NormNorm,WdShingWd Shng,1175.0,2324.0,TATA
SC20,RL,0.0,12968.0,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5.0,6.0,1962.0,1962.0,Hip,CompShg,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,2.0,1.0,TA,4.0,Typ,0.0,No,Detchd,1980.0,Unf,1.0,352.0,Y,140.0,0.0,No,Sep,2008.0,WD,Normal,144000.0,157.89473684210526,63.0,1.0,1.0,NormNorm,HdBoardPlywood,912.0,912.0,TATA
SC20,RL,91.0,10652.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,7.0,5.0,2006.0,2007.0,Gable,CompShg,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,1980.0,RFn,3.0,840.0,Y,160.0,33.0,No,Aug,2007.0,New,Partial,163000.0,109.10307898259705,19.0,0.0,2.0,NormNorm,VinylSdVinylSd,1494.0,1494.0,TATA
SC20,RL,0.0,10920.0,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,1Fam,1Story,6.0,5.0,1960.0,1960.0,Hip,CompShg,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,2.0,1.0,TA,5.0,Typ,1.0,Fa,Attchd,1980.0,RFn,1.0,352.0,Y,0.0,25.0,No,May,2008.0,WD,Normal,157000.0,125.29928172386273,65.0,1.0,2.0,NormNorm,MetalSdMetalSd,1253.0,1253.0,TATA
SC45,RM,51.0,6120.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,1Fam,1.5Unf,7.0,5.0,1929.0,2001.0,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,2.0,1.0,TA,5.0,Typ,0.0,No,Detchd,1980.0,Unf,2.0,576.0,Y,48.0,25.0,No,Jul,2007.0,WD,Normal,132000.0,154.56674473067915,96.0,0.0,1.0,NormNorm,Wd SdngWd Sdng,832.0,854.0,TATA
SC20,RL,0.0,11241.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,1Fam,1Story,6.0,7.0,1970.0,1970.0,Gable,CompShg,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,2.0,1.0,TA,5.0,Typ,1.0,TA,Attchd,1980.0,Fin,2.0,480.0,Y,0.0,0.0,Shed,Mar,2010.0,WD,Normal,149000.0,148.40637450199202,55.0,1.0,1.0,NormNorm,Wd SdngWd Sdng,1004.0,1004.0,TATA
SC90,RL,72.0,10791.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Duplex,1Story,4.0,5.0,1967.0,1967.0,Gable,CompShg,None,0.0,TA,TA,Slab,No,No,No,No,No,GasA,TA,Y,SBrkr,2.0,1.0,TA,6.0,Typ,0.0,No,CarPort,1980.0,Unf,2.0,516.0,Y,0.0,0.0,Shed,Oct,2006.0,WD,Normal,90000.0,69.44444444444444,58.0,0.0,2.0,NormNorm,MetalSdMetalSd,0.0,1296.0,TATA
SC20,RL,66.0,13695.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,1Fam,1Story,5.0,5.0,2004.0,2004.0,Gable,CompShg,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,Gd,6.0,Typ,0.0,No,Detchd,1980.0,Unf,2.0,576.0,Y,0.0,25.0,No,Jun,2008.0,WD,Normal,159000.0,142.72890484739676,21.0,1.0,2.0,RRAeNorm,VinylSdVinylSd,1114.0,1114.0,TATA
SC20,RL,70.0,7560.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5.0,6.0,1958.0,1965.0,Hip,CompShg,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,3.0,1.0,TA,6.0,Min1,0.0,No,Attchd,1980.0,Unf,1.0,294.0,Y,0.0,0.0,No,May,2009.0,COD,Abnorml,139000.0,103.80881254667662,67.0,0.0,1.0,NormNorm,BrkFacePlywood,1029.0,1339.0,TATA
SC60,RL,101.0,14215.0,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,1Fam,2Story,8.0,5.0,2005.0,2006.0,Gable,CompShg,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,4.0,1.0,Gd,9.0,Typ,1.0,Gd,BuiltIn,1980.0,RFn,3.0,853.0,Y,240.0,25.0,No,Nov,2006.0,New,Partial,163000.0,68.6026936026936,20.0,0.0,4.0,NormNorm,VinylSdVinylSd,1158.0,2376.0,TATA
SC45,RM,57.0,7449.0,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,1Fam,1.5Unf,7.0,7.0,1930.0,1950.0,Gable,CompShg,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,Gd,6.0,Typ,1.0,Gd,Attchd,1980.0,Unf,1.0,280.0,N,0.0,0.0,No,Jun,2007.0,WD,Normal,139400.0,125.81227436823104,95.0,0.0,1.0,NormNorm,Wd SdngWd Sdng,637.0,1108.0,TATA
SC20,RL,75.0,9742.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,8.0,5.0,2002.0,2002.0,Hip,CompShg,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,1980.0,RFn,2.0,534.0,Y,171.0,25.0,No,Sep,2008.0,WD,Normal,230000.0,128.13370473537606,23.0,0.0,2.0,NormNorm,VinylSdVinylSd,477.5,1795.0,TATA
SC120,RM,44.0,4224.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,TwnhsE,1Story,5.0,7.0,1976.0,1976.0,Gable,CompShg,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,3.0,1.0,TA,6.0,Typ,1.0,TA,Attchd,1980.0,Unf,2.0,572.0,Y,100.0,25.0,No,Jun,2007.0,WD,Normal,129900.0,122.54716981132076,49.0,1.0,1.0,NormNorm,CemntBdCmentBd,1040.0,1060.0,TATA
SC20,RL,0.0,8246.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5.0,5.0,1968.0,2001.0,Gable,CompShg,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,GasA,Ex,Y,SBrkr,3.0,1.0,Gd,6.0,Typ,1.0,TA,Attchd,1980.0,Unf,1.0,270.0,Y,0.0,90.0,No,May,2010.0,WD,Normal,154000.0,145.28301886792454,57.0,1.0,1.0,NormNorm,PlywoodPlywood,392.0,1060.0,TATA
SC20,RL,110.0,14230.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,1Fam,1Story,8.0,5.0,2007.0,2007.0,Gable,CompShg,Stone,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,1980.0,RFn,3.0,890.0,Y,0.0,56.0,No,Jul,2009.0,WD,Normal,163000.0,101.875,18.0,0.0,2.0,NormNorm,VinylSdVinylSd,476.75,1600.0,TATA
SC20,RL,60.0,7200.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1Fam,1Story,5.0,7.0,1951.0,2000.0,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,GasA,TA,Y,SBrkr,3.0,1.0,Gd,5.0,Typ,0.0,No,Detchd,1980.0,Unf,2.0,576.0,Y,222.0,32.0,No,May,2010.0,WD,Normal,134800.0,149.77777777777777,74.0,0.0,1.0,NormNorm,Wd SdngWd Sdng,414.0,900.0,TATA
SC20,RL,98.0,11478.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,1Story,8.0,5.0,2007.0,2008.0,Gable,CompShg,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,1980.0,RFn,3.0,772.0,Y,0.0,50.0,No,May,2010.0,WD,Normal,163000.0,95.65727699530517,18.0,1.0,2.0,NormNorm,VinylSdVinylSd,1704.0,1704.0,TATA
SC20,RL,47.0,16321.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,1Fam,1Story,5.0,6.0,1957.0,1997.0,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,GasA,TA,Y,SBrkr,2.0,1.0,TA,6.0,Typ,2.0,Gd,Attchd,1980.0,RFn,1.0,319.0,Y,288.0,25.0,No,Dec,2006.0,WD,Normal,207500.0,129.6875,68.0,1.0,1.0,NormNorm,MetalSdMetalSd,1484.0,1600.0,TATA
SC30,RM,60.0,6324.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,1Fam,1Story,4.0,6.0,1927.0,1950.0,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,1.0,1.0,Fa,4.0,Typ,0.0,No,Detchd,1980.0,Unf,1.0,240.0,Y,49.0,0.0,No,May,2008.0,WD,Normal,68500.0,131.73076923076923,98.0,0.0,1.0,FeedrRRNn,MetalSdMetalSd,520.0,520.0,FaTA
SC70,C (all),50.0,8500.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,1Fam,2Story,4.0,4.0,1920.0,1950.0,Gambrel,CompShg,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,GasA,TA,N,SBrkr,3.0,1.0,TA,6.0,Typ,0.0,No,Detchd,1980.0,Unf,1.0,250.0,N,0.0,54.0,No,Jul,2008.0,WD,Normal,163000.0,123.7661351556568,105.0,0.0,1.0,FeedrNorm,BrkFaceBrkFace,649.0,1317.0,TAFa
SC20,RL,0.0,8544.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,1Fam,1Story,5.0,6.0,1966.0,2006.0,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,3.0,1.0,Gd,6.0,Typ,0.0,No,Attchd,1980.0,Unf,1.0,271.0,Y,0.0,65.0,No,Jun,2008.0,WD,Normal,149350.0,121.62052117263843,59.0,0.0,2.0,NormNorm,HdBoardHdBoard,1228.0,1228.0,TATA
SC20,RL,85.0,11049.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,1Fam,1Story,8.0,5.0,2007.0,2007.0,Gable,CompShg,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,Gd,7.0,Typ,0.0,No,Attchd,1980.0,RFn,2.0,484.0,Y,0.0,30.0,No,Jan,2008.0,WD,Normal,179900.0,145.78606158833063,18.0,0.0,2.0,NormNorm,VinylSdVinylSd,1234.0,1234.0,TATA
SC20,RL,70.0,10552.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5.0,5.0,1959.0,1959.0,Hip,CompShg,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,4.0,1.0,Gd,6.0,Typ,1.0,Gd,Attchd,1980.0,RFn,2.0,447.0,Y,0.0,38.0,No,Apr,2010.0,WD,Normal,165500.0,97.3529411764706,66.0,0.0,2.0,NormNorm,BrkFaceBrkFace,1398.0,1700.0,TATA
SC120,RL,60.0,7313.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,TwnhsE,1Story,9.0,5.0,2005.0,2005.0,Hip,CompShg,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,2.0,1.0,Ex,6.0,Typ,1.0,Gd,Attchd,1980.0,Fin,2.0,556.0,Y,203.0,47.0,No,Aug,2007.0,WD,Normal,163000.0,104.42024343369634,20.0,1.0,2.0,NormNorm,MetalSdMetalSd,1561.0,1561.0,TATA
SC60,RL,108.0,13418.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,2Story,8.0,5.0,2004.0,2005.0,Gable,CompShg,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,4.0,1.0,Gd,9.0,Typ,1.0,Gd,BuiltIn,1980.0,Fin,3.0,691.0,Y,113.0,32.0,No,Sep,2006.0,WD,Normal,163000.0,66.4763458401305,21.0,0.0,4.0,NormNorm,VinylSdVinylSd,1117.0,2452.0,TATA
SC20,RL,112.0,10859.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,1Fam,1Story,5.0,5.0,1994.0,1995.0,Gable,CompShg,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,TA,6.0,Typ,0.0,No,Attchd,1980.0,Unf,2.0,672.0,Y,392.0,64.0,No,Jun,2009.0,WD,Normal,145000.0,132.17866909753874,31.0,0.0,2.0,NormNorm,VinylSdVinylSd,1097.0,1097.0,TATA
SC20,RL,74.0,8532.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5.0,6.0,1954.0,1990.0,Hip,CompShg,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,3.0,1.0,TA,5.0,Typ,1.0,TA,Attchd,1980.0,Fin,2.0,498.0,Y,0.0,0.0,No,Oct,2009.0,WD,Normal,153000.0,117.96453353893601,71.0,0.0,1.0,NormNorm,Wd SdngWd Sdng,1297.0,1297.0,TATA
SC20,RL,68.0,7922.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5.0,7.0,1953.0,2007.0,Gable,CompShg,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,3.0,1.0,Gd,5.0,Typ,0.0,No,Detchd,1980.0,Unf,1.0,246.0,Y,0.0,52.0,No,Jan,2010.0,WD,Abnorml,109000.0,103.12204351939451,72.0,1.0,1.0,NormNorm,VinylSdVinylSd,1057.0,1057.0,TATA
SC90,RL,65.0,6040.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Duplex,1Story,4.0,5.0,1955.0,1955.0,Gable,CompShg,None,0.0,TA,TA,PConc,No,No,No,No,No,GasA,TA,N,SBrkr,2.0,1.0,Fa,6.0,Typ,0.0,No,No,1980.0,No,0.0,0.0,N,0.0,0.0,No,Jun,2008.0,WD,AdjLand,82000.0,71.18055555555556,70.0,0.0,2.0,NormNorm,AsbShngPlywood,0.0,1152.0,NoNo
SC20,RL,84.0,8658.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,6.0,5.0,1965.0,1965.0,Gable,CompShg,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,3.0,1.0,TA,6.0,Typ,1.0,TA,Attchd,1980.0,RFn,2.0,440.0,Y,0.0,25.0,No,Dec,2006.0,WD,Abnorml,160000.0,120.84592145015105,60.0,0.0,2.0,NormNorm,Wd SdngWd Sdng,1088.0,1324.0,TATA
SC20,RL,115.0,16905.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,1Fam,1Story,5.0,6.0,1959.0,1959.0,Gable,CompShg,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,GasA,Gd,Y,SBrkr,2.0,1.0,TA,5.0,Typ,2.0,Gd,Attchd,1980.0,RFn,1.0,308.0,P,0.0,25.0,No,Jul,2007.0,WD,Normal,170000.0,128.0120481927711,66.0,0.0,2.0,NormNorm,VinylSdVinylSd,1350.0,1328.0,TATA
SC85,RL,0.0,9180.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,1Fam,SFoyer,5.0,7.0,1983.0,1983.0,Gable,CompShg,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,GasA,Gd,Y,SBrkr,2.0,1.0,Gd,5.0,Typ,0.0,No,Attchd,1980.0,RFn,2.0,504.0,Y,240.0,0.0,No,Dec,2007.0,WD,Normal,144000.0,162.89592760180994,42.0,1.0,1.0,NormNorm,HdBoardHdBoard,747.0,884.0,TAGd
SC20,RL,0.0,9200.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,1Fam,1Story,5.0,6.0,1975.0,1980.0,Hip,CompShg,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,GasA,TA,Y,SBrkr,3.0,1.0,TA,5.0,Typ,0.0,No,Detchd,1980.0,Unf,1.0,308.0,Y,145.0,0.0,No,Jul,2008.0,WD,Normal,130250.0,138.8592750533049,50.0,1.0,1.0,NormNorm,VinylSdVinylSd,447.0,938.0,TATA
SC20,RL,70.0,7945.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5.0,6.0,1959.0,1959.0,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,GasA,Ex,Y,SBrkr,3.0,1.0,TA,6.0,Typ,0.0,No,Attchd,1980.0,RFn,1.0,300.0,Y,0.0,0.0,No,May,2006.0,WD,Normal,141000.0,122.6086956521739,66.0,1.0,1.0,NormNorm,BrkFaceWd Sdng,644.0,1150.0,TATA
SC120,RL,61.0,7658.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,TwnhsE,1Story,9.0,5.0,2005.0,2005.0,Hip,CompShg,BrkFace,0.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,2.0,1.0,Ex,6.0,Typ,1.0,Gd,Attchd,1980.0,RFn,2.0,576.0,Y,196.0,82.0,No,Feb,2010.0,WD,Normal,163000.0,93.03652968036529,20.0,1.0,2.0,NormNorm,MetalSdMetalSd,1752.0,1752.0,TATA
SC50,RL,48.0,12822.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,1Fam,1.5Fin,7.0,5.0,2003.0,2003.0,Gable,CompShg,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,1.0,Gd,6.0,Typ,1.0,Ex,Attchd,1980.0,RFn,2.0,670.0,Y,168.0,43.0,No,Aug,2009.0,WD,Abnorml,239686.0,111.53373662168451,22.0,1.0,2.0,NormNorm,VinylSdVinylSd,1434.0,2149.0,TATA
